calendar_position,source_timestamp_utc,source_timestamp_local_london,timestamp_utc,timestamp_local,alignment_method
66,2013-01-03T18:00:00Z,2013-01-03 18:00:00+00:00,2013-01-03T17:00:00Z,2013-01-03 18:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
67,2013-01-03T19:00:00Z,2013-01-03 19:00:00+00:00,2013-01-03T18:00:00Z,2013-01-03 19:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
68,2013-01-03T20:00:00Z,2013-01-03 20:00:00+00:00,2013-01-03T19:00:00Z,2013-01-03 20:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
69,2013-01-03T21:00:00Z,2013-01-03 21:00:00+00:00,2013-01-03T20:00:00Z,2013-01-03 21:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
70,2013-01-03T22:00:00Z,2013-01-03 22:00:00+00:00,2013-01-03T21:00:00Z,2013-01-03 22:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
71,2013-01-03T23:00:00Z,2013-01-03 23:00:00+00:00,2013-01-03T22:00:00Z,2013-01-03 23:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
72,2013-01-04T00:00:00Z,2013-01-04 00:00:00+00:00,2013-01-03T23:00:00Z,2013-01-04 00:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
73,2013-01-04T01:00:00Z,2013-01-04 01:00:00+00:00,2013-01-04T00:00:00Z,2013-01-04 01:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
74,2013-01-04T02:00:00Z,2013-01-04 02:00:00+00:00,2013-01-04T01:00:00Z,2013-01-04 02:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
75,2013-01-04T03:00:00Z,2013-01-04 03:00:00+00:00,2013-01-04T02:00:00Z,2013-01-04 03:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
76,2013-01-04T04:00:00Z,2013-01-04 04:00:00+00:00,2013-01-04T03:00:00Z,2013-01-04 04:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
77,2013-01-04T05:00:00Z,2013-01-04 05:00:00+00:00,2013-01-04T04:00:00Z,2013-01-04 05:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
78,2013-01-04T06:00:00Z,2013-01-04 06:00:00+00:00,2013-01-04T05:00:00Z,2013-01-04 06:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
79,2013-01-04T07:00:00Z,2013-01-04 07:00:00+00:00,2013-01-04T06:00:00Z,2013-01-04 07:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
80,2013-01-04T08:00:00Z,2013-01-04 08:00:00+00:00,2013-01-04T07:00:00Z,2013-01-04 08:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
81,2013-01-04T09:00:00Z,2013-01-04 09:00:00+00:00,2013-01-04T08:00:00Z,2013-01-04 09:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
82,2013-01-04T10:00:00Z,2013-01-04 10:00:00+00:00,2013-01-04T09:00:00Z,2013-01-04 10:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
83,2013-01-04T11:00:00Z,2013-01-04 11:00:00+00:00,2013-01-04T10:00:00Z,2013-01-04 11:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
84,2013-01-04T12:00:00Z,2013-01-04 12:00:00+00:00,2013-01-04T11:00:00Z,2013-01-04 12:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
85,2013-01-04T13:00:00Z,2013-01-04 13:00:00+00:00,2013-01-04T12:00:00Z,2013-01-04 13:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
86,2013-01-04T14:00:00Z,2013-01-04 14:00:00+00:00,2013-01-04T13:00:00Z,2013-01-04 14:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
87,2013-01-04T15:00:00Z,2013-01-04 15:00:00+00:00,2013-01-04T14:00:00Z,2013-01-04 15:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
88,2013-01-04T16:00:00Z,2013-01-04 16:00:00+00:00,2013-01-04T15:00:00Z,2013-01-04 16:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
89,2013-01-04T17:00:00Z,2013-01-04 17:00:00+00:00,2013-01-04T16:00:00Z,2013-01-04 17:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
90,2013-01-04T18:00:00Z,2013-01-04 18:00:00+00:00,2013-01-04T17:00:00Z,2013-01-04 18:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
91,2013-01-04T19:00:00Z,2013-01-04 19:00:00+00:00,2013-01-04T18:00:00Z,2013-01-04 19:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
92,2013-01-04T20:00:00Z,2013-01-04 20:00:00+00:00,2013-01-04T19:00:00Z,2013-01-04 20:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
93,2013-01-04T21:00:00Z,2013-01-04 21:00:00+00:00,2013-01-04T20:00:00Z,2013-01-04 21:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
94,2013-01-04T22:00:00Z,2013-01-04 22:00:00+00:00,2013-01-04T21:00:00Z,2013-01-04 22:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
95,2013-01-04T23:00:00Z,2013-01-04 23:00:00+00:00,2013-01-04T22:00:00Z,2013-01-04 23:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
96,2013-01-05T00:00:00Z,2013-01-05 00:00:00+00:00,2013-01-04T23:00:00Z,2013-01-05 00:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
97,2013-01-05T01:00:00Z,2013-01-05 01:00:00+00:00,2013-01-05T00:00:00Z,2013-01-05 01:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
98,2013-01-05T02:00:00Z,2013-01-05 02:00:00+00:00,2013-01-05T01:00:00Z,2013-01-05 02:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
99,2013-01-05T03:00:00Z,2013-01-05 03:00:00+00:00,2013-01-05T02:00:00Z,2013-01-05 03:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
100,2013-01-05T04:00:00Z,2013-01-05 04:00:00+00:00,2013-01-05T03:00:00Z,2013-01-05 04:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
101,2013-01-05T05:00:00Z,2013-01-05 05:00:00+00:00,2013-01-05T04:00:00Z,2013-01-05 05:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
102,2013-01-05T06:00:00Z,2013-01-05 06:00:00+00:00,2013-01-05T05:00:00Z,2013-01-05 06:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
103,2013-01-05T07:00:00Z,2013-01-05 07:00:00+00:00,2013-01-05T06:00:00Z,2013-01-05 07:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
104,2013-01-05T08:00:00Z,2013-01-05 08:00:00+00:00,2013-01-05T07:00:00Z,2013-01-05 08:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
105,2013-01-05T09:00:00Z,2013-01-05 09:00:00+00:00,2013-01-05T08:00:00Z,2013-01-05 09:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
106,2013-01-05T10:00:00Z,2013-01-05 10:00:00+00:00,2013-01-05T09:00:00Z,2013-01-05 10:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
107,2013-01-05T11:00:00Z,2013-01-05 11:00:00+00:00,2013-01-05T10:00:00Z,2013-01-05 11:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
108,2013-01-05T12:00:00Z,2013-01-05 12:00:00+00:00,2013-01-05T11:00:00Z,2013-01-05 12:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
109,2013-01-05T13:00:00Z,2013-01-05 13:00:00+00:00,2013-01-05T12:00:00Z,2013-01-05 13:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
110,2013-01-05T14:00:00Z,2013-01-05 14:00:00+00:00,2013-01-05T13:00:00Z,2013-01-05 14:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
111,2013-01-05T15:00:00Z,2013-01-05 15:00:00+00:00,2013-01-05T14:00:00Z,2013-01-05 15:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
112,2013-01-05T16:00:00Z,2013-01-05 16:00:00+00:00,2013-01-05T15:00:00Z,2013-01-05 16:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
113,2013-01-05T17:00:00Z,2013-01-05 17:00:00+00:00,2013-01-05T16:00:00Z,2013-01-05 17:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
114,2013-01-05T18:00:00Z,2013-01-05 18:00:00+00:00,2013-01-05T17:00:00Z,2013-01-05 18:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
115,2013-01-05T19:00:00Z,2013-01-05 19:00:00+00:00,2013-01-05T18:00:00Z,2013-01-05 19:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
116,2013-01-05T20:00:00Z,2013-01-05 20:00:00+00:00,2013-01-05T19:00:00Z,2013-01-05 20:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
117,2013-01-05T21:00:00Z,2013-01-05 21:00:00+00:00,2013-01-05T20:00:00Z,2013-01-05 21:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
118,2013-01-05T22:00:00Z,2013-01-05 22:00:00+00:00,2013-01-05T21:00:00Z,2013-01-05 22:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
119,2013-01-05T23:00:00Z,2013-01-05 23:00:00+00:00,2013-01-05T22:00:00Z,2013-01-05 23:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
120,2013-01-06T00:00:00Z,2013-01-06 00:00:00+00:00,2013-01-05T23:00:00Z,2013-01-06 00:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
121,2013-01-06T01:00:00Z,2013-01-06 01:00:00+00:00,2013-01-06T00:00:00Z,2013-01-06 01:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
122,2013-01-06T02:00:00Z,2013-01-06 02:00:00+00:00,2013-01-06T01:00:00Z,2013-01-06 02:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
123,2013-01-06T03:00:00Z,2013-01-06 03:00:00+00:00,2013-01-06T02:00:00Z,2013-01-06 03:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
124,2013-01-06T04:00:00Z,2013-01-06 04:00:00+00:00,2013-01-06T03:00:00Z,2013-01-06 04:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
125,2013-01-06T05:00:00Z,2013-01-06 05:00:00+00:00,2013-01-06T04:00:00Z,2013-01-06 05:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
126,2013-01-06T06:00:00Z,2013-01-06 06:00:00+00:00,2013-01-06T05:00:00Z,2013-01-06 06:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
127,2013-01-06T07:00:00Z,2013-01-06 07:00:00+00:00,2013-01-06T06:00:00Z,2013-01-06 07:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
128,2013-01-06T08:00:00Z,2013-01-06 08:00:00+00:00,2013-01-06T07:00:00Z,2013-01-06 08:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
129,2013-01-06T09:00:00Z,2013-01-06 09:00:00+00:00,2013-01-06T08:00:00Z,2013-01-06 09:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
130,2013-01-06T10:00:00Z,2013-01-06 10:00:00+00:00,2013-01-06T09:00:00Z,2013-01-06 10:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
131,2013-01-06T11:00:00Z,2013-01-06 11:00:00+00:00,2013-01-06T10:00:00Z,2013-01-06 11:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
132,2013-01-06T12:00:00Z,2013-01-06 12:00:00+00:00,2013-01-06T11:00:00Z,2013-01-06 12:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
133,2013-01-06T13:00:00Z,2013-01-06 13:00:00+00:00,2013-01-06T12:00:00Z,2013-01-06 13:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
